PromotionKey;EnglishPromotionName;DiscountPct;EnglishPromotionType;EnglishPromotionCategory
1;No Discount;0;No Discount;No Discount
2;Volume Discount 11 to 14;0,02;Volume Discount;Reseller
3;Volume Discount 15 to 24;0,05;Volume Discount;Reseller
4;Volume Discount 25 to 40;0,1;Volume Discount;Reseller
5;Volume Discount 41 to 60;0,15;Volume Discount;Reseller
6;Volume Discount over 60;0,2;Volume Discount;Reseller
7;Mountain-100 Clearance Sale;0,35;Discontinued Product;Reseller
8;Sport Helmet Discount-2002;0,1;Seasonal Discount;Reseller
9;Road-650 Overstock;0,3;Excess Inventory;Reseller
10;Mountain Tire Sale;0,5;Excess Inventory;Customer
11;Sport Helmet Discount-2003;0,15;Seasonal Discount;Reseller
12;LL Road Frame Sale;0,35;Excess Inventory;Reseller
13;Touring-3000 Promotion;0,15;New Product;Reseller
14;Touring-1000 Promotion;0,2;New Product;Reseller
15;Half-Price Pedal Sale;0,5;Seasonal Discount;Customer
16;Mountain-500 Silver Clearance Sale;0,4;Discontinued Product;Reseller
